act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
"nr. 172, 11 iulie 2024",25.07.2024,Lege,Lege pentru ratificarea Acordului de modificare nr. 1 la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”,Împrumut,BERD,,318-320,,https://monitorul.gov.md/ro/search
"nr. 1530-IX, 22 iulie 2024",25.07.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de modificare nr. 1 la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”,Împrumut,BERD,,318-320,,https://monitorul.gov.md/ro/search
"nr. 529, 17 iulie 2024",18.07.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea implementării Proiectului „Tranziția durabilă către eficiența energetică în Moldova (STEEM)”,Împrumut,BIRD,,308-310,,https://monitorul.gov.md/ro/search
"nr. 528, 17 iulie 2024",18.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare și Asociația Internațională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creștere, Reziliență și Oportunități pentru Bunăstare în Moldova (M- GROW)” în vederea cofinanțării Programului „Operațiunea politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”, semnat la 11 iulie 2024",Grant,BIRD / AID,11.07.2024,308-310,,https://monitorul.gov.md/ro/search
"nr. 527, 17 iulie 2024",18.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Programului „Operațiunea politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”, semnat la 11 iulie 2024",Împrumut,BIRD,11.07.2024,308-310,,https://monitorul.gov.md/ro/search
"nr. 526, 17 iulie 2024",18.07.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție şi Dezvoltare în vederea realizării Proiectului de susținere a managementului riscurilor de dezastre și rezilienței Republicii Moldova și acordarea împuternicirilor pentru negocierea acestuia,Împrumut,BIRD,,308-310,,https://monitorul.gov.md/ro/search
"nr. 525, 17 iulie 2024",18.07.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare nr. CMD 1014 01 E și acordarea împuternicirilor pentru negocierea acestuia,Împrumut,AFD,,308-310,,https://monitorul.gov.md/ro/search
"nr. 177, 11 iulie 2024",18.07.2024,Lege,Lege pentru ratificarea Acordului de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”,Împrumut,AID,,308-310,,https://monitorul.gov.md/ro/search
"nr. 176, 11 iulie 2024",18.07.2024,Lege,Lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”,Împrumut,BIRD,,308-310,,https://monitorul.gov.md/ro/search
"nr. 1528-IX, 15 iulie 2024",18.07.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”,Împrumut,AID,,308-310,,https://monitorul.gov.md/ro/search
