act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
HP965/2000,27.04.2000,Hotărâre,Hotărâre a Parlamentului asupra proiectului de Lege pentru ratificarea Acordului de credit dintre Republica Moldova şi Fondul Internaţional pentru Dezvoltare Agricolă în valoare de 5800000 DST (Drepturi Speciale de Tragere),Împrumut,FIDA,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=61478&lang=ro
HG345/2000,07.04.2000,Hotărâre,"Hotărâre privind constituirea grupului de negociere a Acordului de credit între Guvernul Republicii Moldova şi ""Export Credit Bank"" (Turcia) în scopul obţinerii celei de a doua tranşe a creditului (23 mil. dolari SUA)",Împrumut,Turcia,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=42244&lang=ro
HG269/2000,20.03.2000,Hotărâre,"Hotărâre Despre proiectul de lege ""Pentru ratificarea Acordului de Credit între Republica Moldova şi Fondul Internaţional pentru Dezvoltare Agricolă în valoare de 5.800.000 DST (Drepturi Speciale de Tragere)""",Împrumut,FIDA,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=72692&lang=ro
HG947/1999,15.10.1999,Hotărâre,"Hotărâre cu privire la introducerea unor modificări la Acordul de împrumut nr.3977-0 MD; 3977-1 MD, semnat la 17 aprilie 1996 între Republica Moldova şi Banca Internaţională de Reconstrucţie şi Dezvoltare",Împrumut,BIRD,17.04.1996,legis.md,,https://www.legis.md/cautare/getResults?doc_id=45690&lang=ro
HP551/1999,28.07.1999,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de Credit pentru Ajustări Structurale dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=47033&lang=ro
HP550/1999,28.07.1999,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de Credit pentru Dezvoltare dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=46991&lang=ro
HP461/1999,24.06.1999,Hotărâre,"Hotărâre a Parlamentului pentru modificarea articolului 1 din Hotărîrea Parlamentului nr. 696-XIII din 21 decembrie 1995 cu privire la ratificarea Acordului de credit dintre Banca Europeană pentru Reconstrucţieşi Dezvoltare şi S.A. ""Termocom"" şi a Acordului de garanţie dintre Republica Moldova şi Banca Europeană pentru Reconstrucţie şi Dezvoltare",Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=59180&lang=ro
HG584/1999,22.06.1999,Hotărâre,"Hotărâre Pentru aprobarea proiectului de hotărîre a Parlamentului despre modificarea Hotărîrii Parlamentului Republicii Moldova nr. 696-XIII din 21 decembrie 1995 cu privire la ratificarea Acordului de credit dintre Banca Europeană pentru Reconstrucţie şi Dezvoltare şi S.A. ""Termocom"" şi a Acordului de garanţie dintre Republica Moldova şi Banca Europeană pentru Reconstrucţie şi Dezvoltare",Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=74569&lang=ro
HG512/1999,04.06.1999,Hotărâre,Hotărâre despre negocierea împrumutului acordat de Asociaţia Internaţională pentru Dezvoltare privind Proiectul pentru Gestionarea Protecţiei Sociale,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=43974&lang=ro
HP418/1999,03.06.1999,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de credit dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=59157&lang=ro
